num,nom,prenom,mail,parcours,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10
21400122,,,,ANDROIDE,lrc2,mogpl4,mapsi5,complex3,aagb1,,,,,
21107689,,,,ANDROIDE,lrc2,mogpl3,mapsi5,complex3,aagb1,,,,,
28630657,,,,ANDROIDE,lrc3,mogpl1,mapsi5,bima3,aagb1,,,,,
21400017,,,,ANDROIDE,lrc4,mogpl1,mapsi5,bima3,aagb1,,,,,
21113927,,,,ANDROIDE,lrc2,mogpl3,mapsi5,complex3,aagb1,,,,,
21318843,,,,ANDROIDE,lrc4,mogpl1,bima3,mapsi3,aagb1,,,,,
21104033,,,,ANDROIDE,lrc3,mogpl1,mapsi3,bima3,aagb1,,,,,
21107598,,,,ANDROIDE,lrc4,mogpl2,mapsi1,mlbda2,algav1,,,,,
21105329,,,,ANDROIDE,lrc4,mogpl2,mapsi1,mlbda2,algav1,,,,,
21110846,,,,ANDROIDE,lrc1,mogpl3,complex2,mapsi5,bima1,,,,,
21400449,,,,ANDROIDE,lrc2,mogpl3,complex2,mapsi1,bima1,,,,,
21238294,,,,ANDROIDE,lrc1,mogpl4,mapsi5,complex2,bima1,,,,,
21114048,,,,ANDROIDE,lrc2,mogpl4,complex2,mapsi5,bima1,,,,,
3702809,,,,ANDROIDE,lrc4,mogpl1,mapsi3,aagb1,bima1,,,,,
21402861,,,,ANDROIDE,lrc1,mogpl4,mapsi5,complex2,bima1,,,,,
21112336,,,,ANDROIDE,lrc1,mogpl3,mapsi5,mlbda3,bima1,,,,,
21400464,,,,ANDROIDE,lrc1,mogpl3,complex2,mapsi3,bima3,,,,,
21128353,,,,ANDROIDE,lrc1,mogpl4,mapsi5,complex2,bima3,,,,,
21304236,,,,ANDROIDE,lrc4,mogpl1,aagb1,mapsi3,bima3,,,,,
21305057,,,,ANDROIDE,lrc1,mogpl4,complex2,mapsi1,bima3,,,,,
21106878,,,,ANDROIDE,lrc1,mogpl4,complex2,mapsi3,bima3,,,,,
21400107,,,,ANDROIDE,lrc2,mogpl3,mapsi1,complex2,bima3,,,,,
21108238,,,,ANDROIDE,lrc1,mogpl4,mapsi1,complex2,bima3,,,,,
21101825,,,,ANDROIDE,lrc2,mogpl4,complex2,mapsi3,bima3,,,,,
21110611,,,,ANDROIDE,lrc2,mogpl4,mapsi3,complex2,bima3,,,,,
28605659,,,,ANDROIDE,lrc1,mogpl3,mapsi1,complex2,dlp1,,,,,
21418204,,,,ANDROIDE,lrc1,mogpl4,complex2,mapsi1,dlp1,,,,,
28705881,,,,ANDROIDE,lrc1,mogpl4,mapsi1,complex2,dlp2,,,,,
21113482,,,,ANDROIDE,lrc2,mogpl4,bima1,complex2,mapsi1,,,,,
28706870,,,,ANDROIDE,lrc1,mogpl3,bima1,complex2,mapsi5,,,,,
21113004,,,,ANDROIDE,lrc2,mogpl4,complex3,mapsi5,mlbda1,,,,,
28726582,,,,ANDROIDE,lrc1,mogpl4,complex3,mapsi5,mlbda1,,,,,
21400363,,,,ANDROIDE,lrc2,mogpl4,mapsi3,complex3,mlbda1,,,,,
21110736,,,,ANDROIDE,lrc1,mogpl3,mapsi5,complex3,mlbda1,,,,,
21101875,,,,ANDROIDE,lrc2,mogpl3,complex3,mapsi5,mlbda1,,,,,
21104859,,,,ANDROIDE,lrc1,mogpl2,mapsi3,complex2,mlbda1,,,,,
28716151,,,,ANDROIDE,lrc2,mogpl4,mapsi5,complex3,mlbda1,,,,,
21106775,,,,ANDROIDE,lrc1,mogpl3,mapsi3,complex3,mlbda2,,,,,
21112373,,,,ANDROIDE,lrc2,mogpl3,mapsi3,complex3,mlbda2,,,,,
21107465,,,,ANDROIDE,lrc1,mogpl3,complex3,mapsi3,mlbda2,,,,,
28718491,,,,ANDROIDE,lrc2,mogpl3,mapsi3,complex3,mlbda2,,,,,
21109566,,,,ANDROIDE,lrc1,mogpl4,mapsi1,complex3,mlbda2,,,,,
21112041,,,,ANDROIDE,lrc2,mogpl2,mapsi1,complex2,signal1,,,,,
21411393,,,,ANDROIDE,lrc4,mogpl1,mapsi1,bima1,signal1,,,,,
21401298,,,,ANDROIDE,lrc3,mogpl1,mapsi1,bima3,signal1,,,,,
28726597,,,,ANDROIDE,lrc1,mogpl2,complex2,mapsi1,signal1,,,,,
21309952,,,,ANDROIDE,mapsi2,bima3,,,,,,,,
28708160,,,,ANDROIDE,pscr2,bima3,mapsi1,,,,,,,
3803177,,,,ANDROIDE,pscr2,signal2,,,,,,,,
28603668,,,,ANDROIDE,lrc4,mogpl2,mapsi1,algav1,,,,,,
28618735,,,,ANDROIDE,aagb1,,,,,,,,,
3702508,,,,ANDROIDE,aagb1,,,,,,,,,
CAND7XL35GT8,,,,BIM,aagb1,mapsi4,maths4m0621,mogpl3,complex3,,,,,
21414118,,,,BIM,aagb1,mapsi4,maths4m0621,mogpl3,complex3,,,,,
CANDGK3M7HLD,,,,BIM,aagb1,mapsi4,maths4m0621,mogpl2,lrc3,,,,,
21405748,,,,BIM,aagb1,mapsi4,maths4m0621,mogpl2,lrc3,,,,,
233323371EB,,,,BIM,aagb1,mapsi4,maths4m0621,mogpl2,lrc4,,,,,
21402950,,,,BIM,aagb1,mapsi4,maths4m0621,mogpl2,lrc4,,,,,
21415959,,,,BIM,aagb1,mapsi4,maths4m0621,mogpl2,lrc4,,,,,
MA23_30927,,,,BIM,aagb1,mapsi4,maths4m0621,mogpl2,lrc4,,,,,
21108059,,,,BIM,aagb1,mapsi4,maths4m0621,mogpl2,lrc4,,,,,
21400593,,,,BIM,aagb1,mapsi4,maths4m0621,lrc4,mogpl2,,,,,
21316306,,,,BIM,mapsi4,mogpl2,lrc4,,,,,,,
21415339,,,,CCA,complex1,model1,ppar_en1,noyau1,archi1,,,,,
21309935,,,,CCA,complex1,model1,ppar_en2,pscr3,archi2,,,,,
21400421,,,,CCA,complex1,model1,ppar_en1,archi1,mapsi2,,,,,
21400515,,,,CCA,complex1,model1,ppar_en1,archi1,mapsi2,,,,,
21411317,,,,CCA,complex1,model1,ppar_en1,archi1,mapsi2,,,,,
21400033,,,,CCA,complex1,model1,ppar_en1,archi1,mapsi2,,,,,
21400529,,,,CCA,complex1,model1,ppar_en1,archi1,mapsi2,,,,,
21113851,,,,CCA,complex1,model1,ppar_en1,qclg_qk4cs_en1,mapsi3,,,,,
CANDGJRWAV7C,,,,CCA,complex1,model1,ppar_en1,qclg_qk4cs_en1,mapsi5,,,,,
21200324,,,,CCA,complex1,model1,ppar_en1,qclg_qk4cs_en1,mapsi5,,,,,
21416340,,,,CCA,complex1,model1,ppar_en1,archi1,noyau2,,,,,
21400615,,,,CCA,complex1,model1,ppar_en1,archi1,noyau2,,,,,
21100552,,,,CCA,complex3,model1,ppar_en2,pscr3,noyau2,,,,,
21407651,,,,CCA,complex1,model1,ppar_en1,archi1,noyau2,,,,,
21410685,,,,CCA,complex1,model1,ppar_en1,archi1,noyau2,,,,,
21117351,,,,CCA,complex1,model1,archi1,mapsi2,ppar_en1,,,,,
21400099,,,,CCA,complex1,model1,ppar_en2,archi2,pscr3,,,,,
21416202,,,,CCA,complex3,model1,noyau1,ppar_en2,pscr3,,,,,
21112838,,,,CCA,complex1,model1,ppar_en2,qclg_qk4cs_en1,pscr3,,,,,
21417802,,,,CCA,complex1,model1,ppar_en1,mapsi3,qclg_qk4cs_en1,,,,,
28726079,,,,CCA,complex1,model1,ppar_en1,mapsi3,qclg_qk4cs_en1,,,,,
21212724,,,,CCA,complex1,model1,ppar_en1,mapsi5,qclg_qk4cs_en1,,,,,
28602563,,,,CCA,complex3,ppar_en2,mogpl1,,,,,,,
21402664,,,,DAC,lrc1,mapsi5,mlbda1,complex2,bima1,,,,,
21105223,,,,DAC,lrc4,mapsi3,mlbda2,mogpl1,bima1,,,,,
21414350,,,,DAC,lrc3,mapsi5,mlbda2,mogpl1,bima1,,,,,
21400967,,,,DAC,lrc2,mapsi3,mlbda2,complex1,bima1,,,,,
21401951,,,,DAC,lrc2,mapsi1,mlbda3,mogpl4,bima1,,,,,
21102968,,,,DAC,lrc3,mapsi3,mlbda2,mogpl1,bima3,,,,,
21105301,,,,DAC,lrc3,mapsi3,mlbda2,mogpl1,bima3,,,,,
21417011,,,,DAC,lrc2,mapsi5,mlbda3,mogpl3,bima3,,,,,
21400077,,,,DAC,lrc1,mapsi5,mlbda1,bima3,complex2,,,,,
21407315,,,,DAC,lrc2,mapsi3,mlbda1,bima1,complex2,,,,,
21108860,,,,DAC,lrc1,mapsi5,mlbda1,mogpl4,complex3,,,,,
21402600,,,,DAC,lrc1,mapsi5,mlbda2,mogpl4,complex3,,,,,
21100696,,,,DAC,lrc1,mapsi3,mlbda2,mogpl4,complex3,,,,,
CANDZLBESIXP,,,,DAC,lrc3,mapsi5,mlbda2,bima1,mogpl1,,,,,
21105214,,,,DAC,lrc3,mapsi3,mlbda2,bima3,mogpl1,,,,,
21400184,,,,DAC,lrc4,mapsi1,mlbda2,bima3,mogpl1,,,,,
21113693,,,,DAC,lrc4,mapsi5,mlbda2,bima3,mogpl1,,,,,
21111286,,,,DAC,lrc3,mapsi3,mlbda1,bima1,mogpl1,,,,,
28603647,,,,DAC,lrc3,mapsi1,mlbda2,bima1,mogpl1,,,,,
21402854,,,,DAC,lrc4,mapsi1,mlbda2,bima_en2,mogpl2,,,,,
21418700,,,,DAC,lrc2,mapsi1,mlbda3,signal1,mogpl2,,,,,
21400068,,,,DAC,lrc2,mapsi1,mlbda3,bima3,mogpl3,,,,,
21105949,,,,DAC,lrc2,mapsi3,mlbda3,bima1,mogpl3,,,,,
28725545,,,,DAC,lrc1,mapsi3,mlbda3,bima1,mogpl3,,,,,
21300058,,,,DAC,lrc1,mapsi5,mlbda3,bima3,mogpl4,,,,,
21418571,,,,DAC,lrc2,mapsi3,mlbda2,complex3,mogpl4,,,,,
21408798,,,,DAC,lrc1,mapsi1,mlbda2,complex3,mogpl4,,,,,
21400495,,,,DAC,lrc3,mapsi1,mlbda2,bima3,signal1,mogpl1,,,,
28706448,,,,DAC,lrc4,mapsi2,mlbda1,mogpl2,signal1,,,,,
28706356,,,,DAC,lrc1,mapsi1,mlbda3,mogpl2,signal1,,,,,
21400505,,,,DAC,lrc2,mapsi1,mlbda3,mogpl2,signal1,,,,,
21410720,,,,DAC,lrc3,mapsi2,mlbda2,bima1,signal1,,,,,
SU00002235,,,,DAC,lrc2,mapsi1,mlbda2,complex3,signal1,,,,,
21304385,,,,DAC,aagb1,,,,,,,,,
21316700,,,,DAC,mapsi2,,,,,,,,,
21311806,,,,DAC,mapsi2,aagb1,,,,,,,,
28712609,,,,DAC,lrc1,,,,,,,,,
21304866,,,,IMA,bima1,mapsi3,signal2,mogpl1,aagb1,,,,,
21400518,,,,IMA,bima1,mapsi3,mogpl1,signal2,aagb1,,,,,
21105872,,,,IMA,bima3,mapsi1,mogpl4,algav1,complex2,,,,,
21400298,,,,IMA,bima1,mapsi3,aagb1,complex2,lrc1,,,,,
21408105,,,,IMA,bima1,mapsi3,mogpl4,mlbda3,lrc2,,,,,
21400117,,,,IMA,bima3,mapsi2,model_en2,ppar_en2,mlbda3,,,,,
21400378,,,,IMA,bima3,mapsi2,ppar_en2,aagb1,mogpl4,,,,,
21411880,,,,IMA,bima1,mapsi5,mlbda3,lrc2,mogpl4,,,,,
21402552,,,,IMA,bima1,mapsi5,mogpl1,lrc3,ppar_en1,,,,,
21400109,,,,IMA,bima1,mapsi2,aagb1,mogpl3,ppar_en2,,,,,
21400271,,,,IMA,bima3,mapsi1,mogpl1,lrc3,signal1,,,,,
21318476,,,,IMA,bima3,mapsi1,model1,algav1,signal2,,,,,
21417723,,,,IMA,bima1,mapsi2,model_en2,ppar_en2,signal2,,,,,
21306997,,,,IMA,bima1,mapsi1,mlbda3,lrc1,,,,,,
3702388,,,,IMA,bima3,mapsi5,mogpl1,lrc4,,,,,,
21400302,,,,IQ,qclg_qk4cs_en1,qph4cs_en1,model_en2,ppar_en1,archi_en3,,,,,
21412569,,,,IQ,qclg_qk4cs_en1,qph4cs_en1,model_en2,ppar_en2,archi_en3,,,,,
21400700,,,,IQ,qclg_qk4cs_en1,qph4cs_en1,model_en2,ppar_en2,archi_en3,,,,,
21410437,,,,IQ,qclg_qk4cs_en1,qph4cs_en1,model_en2,ppar_en2,archi_en3,,,,,
21400407,,,,IQ,qclg_qk4cs_en1,qph4cs_en1,model_en2,ppar_en2,archi_en3,,,,,
7867890,,,,IQ,qclg_qk4cs_en1,qph4cs_en1,model1,complex2,bima_en2,,,,,
21412463,,,,IQ,qclg_qk4cs_en1,qph4cs_en1,ppar_en1,model_en2,bima_en2,,,,,
21416062,,,,IQ,qclg_qk4cs_en1,qph4cs_en1,complex1,ppar_en1,bima_en2,,,,,
21401571,,,,IQ,qclg_qk4cs_en1,qph4cs_en1,ppar_en1,complex1,bima_en2,,,,,
21413535,,,,IQ,qclg_qk4cs_en1,qph4cs_en1,bima_en2,model_en2,complex2,,,,,
21410318,,,,IQ,qclg_qk4cs_en1,qph4cs_en1,bima_en2,sigcom_en1,model1,,,,,
21416282,,,,IQ,qclg_qk4cs_en1,qph4cs_en1,complex1,ppar_en2,mogpl3,,,,,
21400381,,,,IQ,qclg_qk4cs_en1,qph4cs_en1,model_en2,bima_en2,ppar_en1,,,,,
21401492,,,,IQ,qclg_qk4cs_en1,qph4cs_en1,mogpl3,complex1,ppar_en2,,,,,
21400845,,,,IQ,qclg_qk4cs_en1,qph4cs_en1,model1,complex1,ppar_en2,,,,,
21402875,,,,IQ,qclg_qk4cs_en1,qph4cs_en1,mogpl3,complex1,ppar_en2,,,,,
21401739,,,,IQ,qclg_qk4cs_en1,qph4cs_en1,complex1,mogpl3,ppar_en2,,,,,
21419157,,,,IQ,qclg_qk4cs_en1,qph4cs_en1,bima_en2,archi_en3,sigcom_en1,,,,,
21308452,,,,IQ,qph4cs_en1,bima_en2,ppar_en1,,,,,,,
21304631,,,,IQ,qph4cs_en1,complex1,ppar_en1,algav1,,,,,,
21416339,,,,RES,ares3,progres1,rtel2,mlbda3,algav1,,,,,
21419195,,,,RES,ares3,progres1,rtel2,pscr2,complex3,,,,,
21419196,,,,RES,ares3,progres1,rtel2,pscr2,complex3,,,,,
21418536,,,,RES,ares4,progres1,rtel3,mapsi2,mlbda3,,,,,
21110119,,,,RES,ares3,progres1,rtel2,mogpl1,mlbda3,,,,,
21414628,,,,RES,ares4,progres1,rtel3,noyau2,mlbda3,,,,,
21406833,,,,RES,ares4,progres1,rtel3,noyau1,mlbda3,,,,,
21410147,,,,RES,ares4,progres1,rtel2,signal1,mlbda3,,,,,
21418441,,,,RES,ares4,progres1,rtel2,pscr1,mlbda3,,,,,
21104733,,,,RES,ares4,progres1,rtel2,signal2,mogpl1,,,,,
CAND4BDJZFRW,,,,RES,ares3,progres1,rtel2,signal1,mogpl1,,,,,
21415515,,,,RES,ares3,progres1,rtel2,pscr2,mogpl2,,,,,
21110508,,,,RES,ares3,progres1,rtel2,noyau3,mogpl2,,,,,
21106783,,,,RES,ares3,progres1,rtel2,noyau3,mogpl2,,,,,
21401923,,,,RES,ares3,progres1,rtel2,signal1,mogpl2,,,,,
21418679,,,,RES,ares3,progres1,rtel2,signal2,mogpl2,,,,,
21105099,,,,RES,ares3,progres1,rtel2,pscr2,mogpl2,,,,,
21107297,,,,RES,ares3,progres1,rtel2,pscr2,mogpl2,,,,,
21402458,,,,RES,ares4,progres1,rtel3,signal2,noyau1,,,,,
28617513,,,,RES,ares4,progres1,rtel3,mlbda3,noyau1,,,,,
21134068,,,,RES,ares4,progres1,rtel3,signal1,noyau1,,,,,
21415267,,,,RES,ares4,progres1,rtel3,pscr2,noyau1,,,,,
SU00002305,,,,RES,ares4,progres1,rtel3,signal2,noyau1,,,,,
21406863,,,,RES,ares4,progres1,rtel3,mlbda3,noyau2,,,,,
21402506,,,,RES,ares4,progres1,rtel3,signal1,noyau2,,,,,
28712378,,,,RES,ares3,progres1,rtel2,signal1,noyau3,,,,,
21107603,,,,RES,ares4,progres1,rtel3,noyau2,pscr2,,,,,
21414469,,,,RES,ares4,progres1,rtel2,algav2,pscr2,,,,,
21411344,,,,RES,ares4,progres1,rtel3,noyau2,pscr2,,,,,
21313806,,,,RES,ares4,progres1,rtel2,signal1,pscr2,,,,,
21415798,,,,RES,ares3,progres1,rtel2,signal2,pscr2,,,,,
28608312,,,,RES,ares3,progres1,rtel2,signal2,pscr2,,,,,
28608744,,,,RES,ares4,progres1,rtel3,noyau2,pscr2,,,,,
21419245,,,,RES,ares4,progres1,rtel3,noyau1,pscr2,,,,,
21118889,,,,RES,ares4,progres1,rtel3,noyau2,pscr2,,,,,
MA23_29379,,,,RES,ares4,progres1,rtel3,noyau1,pscr2,,,,,
21101134,,,,RES,ares3,progres1,rtel2,complex3,pscr2,,,,,
28711045,,,,RES,ares4,progres1,rtel3,noyau1,pscr2,,,,,
21111263,,,,RES,ares4,progres1,rtel3,noyau2,pscr2,,,,,
21401533,,,,RES,ares4,progres1,rtel2,signal1,pscr2,,,,,
DZ22_21634_C02,,,,RES,ares4,progres1,rtel3,noyau2,pscr2,,,,,
21400072,,,,RES,ares3,progres1,rtel2,mlbda3,signal1,,,,,
21415624,,,,RES,ares4,progres1,rtel3,noyau1,signal1,,,,,
21107819,,,,RES,ares3,progres1,rtel2,archi_en3,signal1,,,,,
28706212,,,,RES,ares3,progres1,rtel2,mogpl2,signal1,,,,,
21416974,,,,RES,ares4,progres1,rtel2,mlbda3,signal1,,,,,
21401849,,,,RES,ares3,progres1,rtel2,pscr2,signal1,,,,,
21406894,,,,RES,ares4,progres1,rtel3,noyau1,signal1,,,,,
21401729,,,,RES,ares4,progres1,rtel3,noyau1,signal1,,,,,
21113417,,,,RES,ares3,progres1,rtel2,pscr2,signal2,,,,,
21411874,,,,RES,ares4,progres1,rtel3,noyau1,signal2,,,,,
21413282,,,,RES,ares4,progres1,rtel3,noyau1,signal2,,,,,
21401563,,,,RES,ares3,progres1,rtel2,pscr2,signal2,,,,,
21304461,,,,RES,ares3,rtel2,algav1,,,,,,,
3800028,,,,RES,rtel2,pscr2,complex3,,,,,,,
21309415,,,,RES,signal2,noyau2,,,,,,,,
21323034,,,,RES,mogpl2,noyau2,,,,,,,,
21410175,,,,SAR,noyau3,pscr3,ares3,sc1,algav2,dlp1,,,,
21101206,,,,SAR,noyau3,pscr3,archi2,rtel3,algav2,,,,,
21102002,,,,SAR,noyau3,pscr1,dlp1,sc1,algav2,,,,,
28710673,,,,SAR,noyau2,pscr1,mlbda1,dlp1,algav2,,,,,
28707636,,,,SAR,noyau1,pscr3,mlbda2,dlp2,algav2,,,,,
21107756,,,,SAR,noyau3,pscr3,archi1,sc1,ares3,,,,,
21103270,,,,SAR,noyau3,pscr3,sc1,archi1,ares3,,,,,
21304583,,,,SAR,noyau2,pscr2,signal1,rtel3,complex3,,,,,
21132666,,,,SAR,noyau3,pscr3,ares3,sc1,dlp1,,,,,
21414745,,,,SAR,noyau1,pscr1,algav2,mlbda1,dlp1,,,,,
21417415,,,,SAR,noyau2,pscr3,mlbda3,ares3,dlp1,,,,,
21400296,,,,SAR,noyau3,pscr3,sc1,ares3,dlp1,,,,,
21102028,,,,SAR,noyau3,pscr3,ares3,sc1,dlp1,,,,,
21400428,,,,SAR,noyau1,pscr3,rtel3,mlbda3,dlp2,,,,,
21101028,,,,SAR,noyau2,pscr3,archi1,vlsi1,mlbda1,lrc4,,,,
21104840,,,,SAR,noyau1,pscr3,dlp1,rtel3,mlbda3,,,,,
21400353,,,,SAR,noyau1,pscr1,dlp2,algav2,mobj1,,,,,
21401426,,,,SAR,noyau1,pscr3,vlsi1,archi1,mobj1,,,,,
21400344,,,,SAR,noyau3,pscr1,dlp1,sc1,mogpl3,,,,,
21400280,,,,SAR,noyau1,pscr1,mlbda3,archi1,mogpl3,,,,,
28723936,,,,SAR,noyau1,pscr1,dlp2,lrc3,mogpl3,,,,,
21400471,,,,SAR,noyau2,pscr2,algav2,dlp2,mogpl3,,,,,
21113241,,,,SAR,noyau3,pscr1,sc1,dlp2,mogpl4,,,,,
21401550,,,,SAR,noyau3,pscr1,complex1,archi2,mogpl4,,,,,
21414666,,,,SAR,noyau2,pscr3,archi1,mobj1,rtel3,,,,,
21403462,,,,SAR,noyau1,pscr3,mlbda3,archi1,rtel3,,,,,
21400542,,,,SAR,noyau3,pscr3,archi2,algav2,rtel3,,,,,
21400013,,,,SAR,noyau3,pscr3,algav2,dlp1,sc1,,,,,
21400034,,,,SAR,noyau2,pscr1,lrc3,mlbda1,signal1,,,,,
28725256,,,,SAR,noyau3,pscr3,complex1,archi2,vlsi1,,,,,
28620147,,,,SESI,archi2,vlsi1,mobj1,signal2,esa1,,,,,
21416422,,,,SESI,archi2,vlsi1,signal1,mobj1,esa1,,,,,
21105074,,,,SESI,archi2,vlsi1,mobj1,signal2,esa1,,,,,
21414075,,,,SESI,archi2,vlsi1,signal2,mobj1,esa1,,,,,
28715042,,,,SESI,archi1,vlsi1,noyau2,pscr3,mlbda3,,,,,
21221825,,,,SESI,archi2,vlsi1,signal2,esa1,mobj1,,,,,
28712457,,,,SESI,archi2,vlsi1,esa1,signal2,mobj1,,,,,
28605381,,,,SESI,archi1,vlsi1,noyau1,pscr3,mobj1,,,,,
21403064,,,,SESI,archi2,vlsi1,esa1,signal1,mobj1,,,,,
21102722,,,,SESI,archi1,vlsi1,noyau2,pscr3,mobj1,,,,,
21400355,,,,SESI,archi2,vlsi1,esa1,signal2,mobj1,,,,,
21410773,,,,SESI,archi2,vlsi1,esa1,signal2,mobj1,,,,,
21102544,,,,SESI,archi1,vlsi1,pscr3,noyau1,mobj1,,,,,
21107748,,,,SESI,archi1,vlsi1,noyau2,pscr2,mogpl3,,,,,
21106771,,,,SESI,archi1,vlsi1,mobj1,noyau2,mogpl4,,,,,
21416354,,,,SESI,archi1,vlsi1,mobj1,pscr3,noyau1,,,,,
21103102,,,,SESI,archi1,vlsi1,mobj1,pscr3,noyau1,,,,,
CANDK12QHSFP,,,,SESI,archi1,vlsi1,mobj1,noyau1,pscr3,,,,,
21418100,,,,SESI,archi1,vlsi1,mobj1,noyau2,pscr3,,,,,
28708764,,,,SESI,archi1,vlsi1,mobj1,noyau2,pscr3,,,,,
M47IX2JU1D,,,,SESI,archi1,vlsi1,signal2,mobj1,rtel2,,,,,
21220727,,,,SESI,archi2,vlsi1,esa1,mobj1,signal2,,,,,
21300921,,,,SESI,archi2,vlsi1,mobj1,esa1,signal2,,,,,
21117546,,,,SESI,archi2,vlsi1,mobj1,esa1,signal2,,,,,
21300799,,,,SESI,archi1,vlsi1,mobj1,noyau1,signal2,,,,,
21115269,,,,SESI,archi2,vlsi1,mobj1,esa1,signal2,,,,,
28707831,,,,SESI,archi2,vlsi1,mobj1,esa1,signal2,,,,,
21319752,,,,SESI,archi2,vlsi1,mobj1,sc2,signal2,,,,,
21304469,,,,SESI,mobj1,signal2,,,,,,,,
21310245,,,,SESI,archi2,pscr2,,,,,,,,
21107747,,,,STL,algav1,dlp1,ouv_ang1,lrc3,ares3,,,,,
21406000,,,,STL,algav1,dlp1,ouv_ang2,model1,complex1,,,,,
21401043,,,,STL,algav1,dlp2,ouv_ang2,mlbda1,complex2,,,,,
21417054,,,,STL,algav1,dlp2,ouv_ang1,mlbda1,complex2,,,,,
21417088,,,,STL,algav1,dlp2,ouv_ang1,mlbda2,lrc3,,,,,
21409960,,,,STL,algav1,dlp1,ouv_ang1,mlbda2,lrc3,,,,,
21402779,,,,STL,algav1,dlp2,ouv_ang2,mlbda1,lrc3,,,,,
28604611,,,,STL,algav1,dlp2,ouv_ang2,mlbda1,lrc3,,,,,
28608482,,,,STL,algav1,dlp2,ouv_ang1,mlbda1,lrc3,,,,,
21416091,,,,STL,algav1,dlp2,ouv_ang2,mlbda1,lrc3,,,,,
21418006,,,,STL,algav1,dlp2,ouv_ang1,mlbda1,lrc3,,,,,
21402345,,,,STL,algav1,dlp2,ouv_ang1,ares3,lrc4,,,,,
21113270,,,,STL,algav1,dlp1,ouv_ang2,mlbda1,lrc4,,,,,
21409957,,,,STL,algav1,dlp2,ouv_ang1,mlbda2,lrc4,,,,,
28706938,,,,STL,algav2,dlp2,ouv_ang2,pscr1,mlbda1,,,,,
21103680,,,,STL,algav1,dlp1,ouv_ang1,lrc4,mlbda1,,,,,
21416343,,,,STL,algav1,dlp2,ouv_ang1,lrc3,mlbda1,,,,,
21416247,,,,STL,algav2,dlp1,ouv_ang2,pscr1,mlbda1,,,,,
21402566,,,,STL,algav1,dlp2,ouv_ang2,lrc3,mlbda1,,,,,
21414794,,,,STL,algav1,dlp2,ouv_ang1,lrc3,mlbda2,,,,,
21414764,,,,STL,algav1,dlp1,ouv_ang2,lrc4,mlbda2,,,,,
21407345,,,,STL,algav1,dlp1,ouv_ang2,lrc3,mlbda2,,,,,
21401699,,,,STL,algav1,dlp2,ouv_ang1,complex2,model1,,,,,
21111116,,,,STL,algav1,dlp1,ouv_ang1,complex2,model1,,,,,
21400635,,,,STL,algav2,dlp2,ouv_ang2,pscr1,model1,,,,,
21400644,,,,STL,algav2,dlp2,ouv_ang2,pscr1,noyau3,,,,,
21401861,,,,STL,algav2,dlp1,ouv_ang2,pscr1,noyau3,,,,,
21304592,,,,STL,algav2,dlp1,ouv_ang2,pscr1,noyau3,,,,,
21400303,,,,STL,algav2,dlp1,ouv_ang2,pscr1,noyau3,,,,,
21401941,,,,STL,algav2,dlp1,ouv_ang2,pscr1,noyau3,,,,,
21400333,,,,STL,algav2,dlp2,ouv_ang2,pscr1,noyau3,,,,,
21414823,,,,STL,algav2,dlp1,ouv_ang1,pscr1,noyau3,,,,,
21412125,,,,STL,algav2,dlp2,ouv_ang1,pscr1,noyau3,,,,,
21414955,,,,STL,algav2,dlp1,ouv_ang2,pscr1,noyau3,,,,,
28723564,,,,STL,algav2,dlp2,ouv_ang1,pscr1,noyau3,,,,,
21403871,,,,STL,algav2,dlp2,ouv_ang1,pscr1,noyau3,,,,,
21414555,,,,STL,algav2,dlp1,ouv_ang1,model1,pscr1,,,,,
21110908,,,,STL,algav2,dlp2,ouv_ang1,noyau3,pscr1,,,,,
28723873,,,,STL,algav2,dlp2,ouv_ang2,noyau3,pscr1,,,,,
21402510,,,,STL,algav2,dlp2,ouv_ang1,noyau3,pscr1,,,,,
21113585,,,,STL,algav2,dlp1,ouv_ang1,noyau3,pscr1,,,,,
21308054,,,,STL,algav1,ouv_ang1,mlbda1,lrc3,,,,,,
28705179,,,,STL,algav1,dlp1,mlbda3,,,,,,,
28707756,,,,STL,algav2,ouv_ang2,model1,pscr1,,,,,,
3808150,,,,STL,algav2,dlp2,pscr2,noyau2,,,,,,
21317509,,,,STL,dlp1,lrc4,,,,,,,,
